college_name,state,city,college_type,quota,category,opening_rank,closing_rank,annual_fee,year,mbbs_seats,nmc_ranking,course_type,bond_years,bond_penalty
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,SC,6609,18360,1628,2025,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,ST,18543,40392,1628,2025,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,EWS,2203,7344,1628,2025,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,GEN-PH,1836,27540,1628,2025,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,OBC-PH,9180,45900,1628,2025,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,SC-PH,18360,73440,1628,2025,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,ST-PH,27540,91800,1628,2025,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,GEN,18,1800,1628,2024,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,OBC,1980,6300,1628,2024,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,SC,6480,18000,1628,2024,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,ST,18180,39600,1628,2024,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,EWS,2160,7200,1628,2024,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,GEN-PH,1800,27000,1628,2024,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,OBC-PH,9000,45000,1628,2024,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,SC-PH,18000,72000,1628,2024,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,ST-PH,27000,90000,1628,2024,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,GEN,17,1710,1628,2023,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,OBC,1881,5985,1628,2023,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,SC,6156,17100,1628,2023,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,ST,17271,37620,1628,2023,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,EWS,2052,6840,1628,2023,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,GEN-PH,1710,25650,1628,2023,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,OBC-PH,8550,42750,1628,2023,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,SC-PH,17100,68400,1628,2023,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,ST-PH,25650,85500,1628,2023,200,15
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,GEN,16,1620,1628,2022,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,OBC,1782,5670,1628,2022,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,SC,5832,16200,1628,2022,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,ST,16362,35640,1628,2022,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,EWS,1944,6480,1628,2022,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,GEN,15,1584,1628,2021,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,OBC,1742,5544,1628,2021,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,SC,5702,15840,1628,2021,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,ST,15998,34848,1628,2021,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,EWS,1900,6336,1628,2021,200,15,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,GEN,22,2244,1628,2025,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,OBC,2468,7854,1628,2025,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,SC,8078,22440,1628,2025,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,ST,22664,49368,1628,2025,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,EWS,2692,8976,1628,2025,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,GEN-PH,2244,33660,1628,2025,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,OBC-PH,11220,56100,1628,2025,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,SC-PH,22440,89760,1628,2025,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,ST-PH,33660,112200,1628,2025,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,GEN,22,2200,1628,2024,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,OBC,2420,7700,1628,2024,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,SC,7920,22000,1628,2024,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,ST,22220,48400,1628,2024,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,EWS,2640,8800,1628,2024,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,GEN-PH,2200,33000,1628,2024,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,OBC-PH,11000,55000,1628,2024,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,SC-PH,22000,88000,1628,2024,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,ST-PH,33000,110000,1628,2024,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,GEN,20,2090,1628,2023,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,OBC,2299,7315,1628,2023,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,SC,7524,20900,1628,2023,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,ST,21109,45980,1628,2023,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,EWS,2508,8360,1628,2023,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,GEN-PH,2090,31350,1628,2023,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,OBC-PH,10450,52250,1628,2023,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,SC-PH,20900,83600,1628,2023,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,ST-PH,31350,104500,1628,2023,125,18
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,GEN,19,1980,1628,2022,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,OBC,2178,6930,1628,2022,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,SC,7128,19800,1628,2022,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,ST,19998,43560,1628,2022,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,EWS,2376,7920,1628,2022,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,GEN,19,1936,1628,2021,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,OBC,2129,6776,1628,2021,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,SC,6969,19360,1628,2021,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,ST,19553,42592,1628,2021,125,18,MBBS,0,0
AIIMS Bhopal,Madhya Pradesh,Bhopal,CENTRAL,AIQ,EWS,2323,7744,1628,2021,125,18,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,GEN,25,2550,1628,2025,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,OBC,2805,8925,1628,2025,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,SC,9180,25500,1628,2025,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,ST,25755,56100,1628,2025,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,EWS,3060,10200,1628,2025,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,GEN-PH,2550,38250,1628,2025,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,OBC-PH,12750,63750,1628,2025,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,SC-PH,25500,102000,1628,2025,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,ST-PH,38250,127500,1628,2025,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,GEN,25,2500,1628,2024,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,OBC,2750,8750,1628,2024,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,SC,9000,25000,1628,2024,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,ST,25250,55000,1628,2024,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,EWS,3000,10000,1628,2024,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,GEN-PH,2500,37500,1628,2024,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,OBC-PH,12500,62500,1628,2024,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,SC-PH,25000,100000,1628,2024,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,ST-PH,37500,125000,1628,2024,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,GEN,23,2375,1628,2023,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,OBC,2612,8312,1628,2023,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,SC,8550,23750,1628,2023,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,ST,23987,52250,1628,2023,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,EWS,2850,9500,1628,2023,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,GEN-PH,2375,35625,1628,2023,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,OBC-PH,11875,59375,1628,2023,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,SC-PH,23750,95000,1628,2023,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,ST-PH,35625,118750,1628,2023,125,20
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,GEN,22,2250,1628,2022,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,OBC,2475,7875,1628,2022,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,SC,8100,22500,1628,2022,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,ST,22725,49500,1628,2022,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,EWS,2700,9000,1628,2022,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,GEN,22,2200,1628,2021,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,OBC,2420,7700,1628,2021,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,SC,7920,22000,1628,2021,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,ST,22220,48400,1628,2021,125,20,MBBS,0,0
AIIMS Rishikesh,Uttarakhand,Rishikesh,CENTRAL,AIQ,EWS,2640,8800,1628,2021,125,20,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,GEN,28,2856,1628,2025,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,OBC,3141,9996,1628,2025,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,SC,10281,28560,1628,2025,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,ST,28845,62832,1628,2025,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,EWS,3427,11424,1628,2025,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,GEN-PH,2856,42840,1628,2025,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,OBC-PH,14280,71400,1628,2025,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,SC-PH,28560,114240,1628,2025,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,ST-PH,42840,142800,1628,2025,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,GEN,28,2800,1628,2024,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,OBC,3080,9800,1628,2024,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,SC,10080,28000,1628,2024,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,ST,28280,61600,1628,2024,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,EWS,3360,11200,1628,2024,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,GEN-PH,2800,42000,1628,2024,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,OBC-PH,14000,70000,1628,2024,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,SC-PH,28000,112000,1628,2024,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,ST-PH,42000,140000,1628,2024,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,GEN,26,2660,1628,2023,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,OBC,2926,9310,1628,2023,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,SC,9576,26600,1628,2023,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,ST,26866,58520,1628,2023,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,EWS,3192,10640,1628,2023,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,GEN-PH,2660,39900,1628,2023,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,OBC-PH,13300,66500,1628,2023,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,SC-PH,26600,106400,1628,2023,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,ST-PH,39900,133000,1628,2023,125,22
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,GEN,25,2520,1628,2022,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,OBC,2772,8820,1628,2022,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,SC,9072,25200,1628,2022,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,ST,25452,55440,1628,2022,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,EWS,3024,10080,1628,2022,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,GEN,24,2464,1628,2021,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,OBC,2710,8624,1628,2021,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,SC,8870,24640,1628,2021,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,ST,24886,54208,1628,2021,125,22,MBBS,0,0
AIIMS Patna,Bihar,Patna,CENTRAL,AIQ,EWS,2956,9856,1628,2021,125,22,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,GEN,30,3060,1628,2025,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,OBC,3366,10710,1628,2025,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,SC,11016,30600,1628,2025,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,ST,30906,67320,1628,2025,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,EWS,3672,12240,1628,2025,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,GEN-PH,3060,45900,1628,2025,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,OBC-PH,15300,76500,1628,2025,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,SC-PH,30600,122400,1628,2025,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,ST-PH,45900,153000,1628,2025,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,GEN,30,3000,1628,2024,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,OBC,3300,10500,1628,2024,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,SC,10800,30000,1628,2024,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,ST,30300,66000,1628,2024,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,EWS,3600,12000,1628,2024,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,GEN-PH,3000,45000,1628,2024,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,OBC-PH,15000,75000,1628,2024,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,SC-PH,30000,120000,1628,2024,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,ST-PH,45000,150000,1628,2024,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,GEN,28,2850,1628,2023,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,OBC,3135,9975,1628,2023,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,SC,10260,28500,1628,2023,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,ST,28785,62700,1628,2023,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,EWS,3420,11400,1628,2023,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,GEN-PH,2850,42750,1628,2023,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,OBC-PH,14250,71250,1628,2023,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,SC-PH,28500,114000,1628,2023,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,ST-PH,42750,142500,1628,2023,100,25
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,GEN,27,2700,1628,2022,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,OBC,2970,9450,1628,2022,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,SC,9720,27000,1628,2022,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,ST,27270,59400,1628,2022,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,EWS,3240,10800,1628,2022,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,GEN,26,2640,1628,2021,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,OBC,2904,9240,1628,2021,100,25,MBBS,0,0
AIIMS Bhubaneswar,Odisha,Bhubaneswar,CENTRAL,AIQ,SC,9504,26400,1628,2021,100,25,MBBS,0,0
